Term,Total_TF,DF,IDF,Max_TFIDF
ignor,7,7,5.2983,0.1204
paraboloid,7,5,5.6348,0.2113
breakdown,7,5,5.6348,0.0902
necess,7,7,5.2983,0.0828
scatter,7,7,5.2983,0.1232
familiar,7,7,5.2983,0.0736
departur,7,6,5.4525,0.0768
elev,7,6,5.4525,0.1
fabric,7,7,5.2983,0.1325
versus,7,6,5.4525,0.1604
ritz,7,7,5.2983,0.0869
tenzero,7,7,5.2983,0.0662
gradual,7,7,5.2983,0.0726
issu,7,6,5.4525,0.101
bar,7,6,5.4525,0.2181
lagrang,6,6,5.4525,0.1069
lewi,6,6,5.4525,0.0708
photo,6,5,5.6348,0.1116
disappear,6,6,5.4525,0.0747
irrot,6,6,5.4525,0.0826
invari,6,6,5.4525,0.0699
circumst,6,6,5.4525,0.0491
stack,6,4,5.8579,0.2493
broad,6,6,5.4525,0.1136
confin,6,5,5.6348,0.1252
reinforc,6,6,5.4525,0.109
creat,6,5,5.6348,0.1281
inert,6,3,6.1456,0.1707
quarter,6,5,5.6348,0.1053
flugg,6,6,5.4525,0.1947
divis,6,4,5.8579,0.1502
bulk,6,6,5.4525,0.1049
cavit,6,3,6.1456,0.2169
trigonometr,6,6,5.4525,0.1239
postul,6,6,5.4525,0.1049
annulus,6,3,6.1456,0.3235
superposit,6,6,5.4525,0.1759
whitham,6,5,5.6348,0.0817
augment,6,4,5.8579,0.0771
status,6,4,5.8579,0.404
node,6,4,5.8579,0.2441
crop,6,3,6.1456,0.1229
beneath,6,4,5.8579,0.0925
attend,6,5,5.6348,0.0916
electromagnet,6,5,5.6348,0.1818
pump,6,3,6.1456,0.2235
ascend,6,5,5.6348,0.2561
decid,6,5,5.6348,0.1391
inequ,6,2,6.5511,0.2166
nonsteadi,6,6,5.4525,0.1113
sector,6,3,6.1456,0.1684
plus,6,6,5.4525,0.0757
sixzero,6,6,5.4525,0.0852
undergo,6,6,5.4525,0.1515
contamin,6,3,6.1456,0.1941
california,6,6,5.4525,0.079
oxid,6,3,6.1456,0.1967
green,6,4,5.8579,0.1698
compil,6,5,5.6348,0.1943
hall,6,4,5.8579,0.1953
stator,6,2,6.5511,0.368
meet,6,6,5.4525,0.0814
unpressur,6,2,6.5511,0.273
discov,6,5,5.6348,0.1761
hartre,6,6,5.4525,0.0924
pilot,6,4,5.8579,0.0915
strike,6,6,5.4525,0.188
galcit,6,5,5.6348,0.1708
soft,6,5,5.6348,0.1252
imperm,6,5,5.6348,0.1657
prevail,6,6,5.4525,0.0535
imag,6,5,5.6348,0.0619
promot,6,5,5.6348,0.0788
project,6,5,5.6348,0.1105
dihedr,6,3,6.1456,0.2004
projectil,6,4,5.8579,0.187
recompress,6,3,6.1456,0.102
gage,6,5,5.6348,0.1409
float,6,4,5.8579,0.0706
oblat,6,3,6.1456,0.1731
plume,6,2,6.5511,0.1409
elsewher,6,6,5.4525,0.1817
unlik,6,6,5.4525,0.1515
probstein,6,5,5.6348,0.1409
outlet,6,5,5.6348,0.1174
twice,6,5,5.6348,0.0633
alreadi,6,6,5.4525,0.0586
hugoniot,6,4,5.8579,0.1204
rev,6,6,5.4525,0.0957
possess,6,5,5.6348,0.0924
cumul,6,4,5.8579,0.202
committe,6,5,5.6348,0.1409
exclud,6,6,5.4525,0.0802
sustain,6,5,5.6348,0.1503
bay,6,3,6.1456,0.1589
thermoelast,6,5,5.6348,0.1116
steep,6,5,5.6348,0.1587
skip,6,4,5.8579,0.1331
facilit,6,6,5.4525,0.079
wavelength,6,5,5.6348,0.1565
hypothes,6,4,5.8579,0.303
worker,6,6,5.4525,0.2097
erfc,6,1,7.2442,0.3173
transmiss,6,6,5.4525,0.0641
lag,6,5,5.6348,0.0741
statement,6,6,5.4525,0.1298
grow,6,6,5.4525,0.0826
retrorocket,6,1,7.2442,0.4025
deposit,6,3,6.1456,0.1024
wagner,6,2,6.5511,0.2356
semispan,6,6,5.4525,0.0673
howarth,6,5,5.6348,0.0805
mise,6,5,5.6348,0.0854
wingtip,6,2,6.5511,0.3599
vertex,6,3,6.1456,0.1002
lumin,6,5,5.6348,0.1523
torqu,6,5,5.6348,0.1238
offer,6,6,5.4525,0.0768
abrupt,6,6,5.4525,0.0483
stem,6,5,5.6348,0.0972
descend,6,3,6.1456,0.2793
admit,6,5,5.6348,0.0902
hodograph,6,3,6.1456,0.1936
sodium,6,4,5.8579,0.2391
reader,6,6,5.4525,0.1298
interpol,6,6,5.4525,0.1515
unheat,6,5,5.6348,0.1544
fifteenzero,6,6,5.4525,0.1474
complementari,6,3,6.1456,0.1246
draw,5,4,5.8579,0.1627
cut,5,3,6.1456,0.1499
uncool,5,5,5.6348,0.0894
public,5,5,5.6348,0.1105
rms,5,5,5.6348,0.0772
invert,5,4,5.8579,0.2055
diurnal,5,2,6.5511,0.1579
benefit,5,3,6.1456,0.0981
standpoint,5,4,5.8579,0.0825
whenev,5,5,5.6348,0.0751
inher,5,5,5.6348,0.0663
invalid,5,5,5.6348,0.2167
hard,5,4,5.8579,0.1698
tendenc,5,5,5.6348,0.0575
tabular,5,5,5.6348,0.0663
evapor,5,3,6.1456,0.1263
notic,5,5,5.6348,0.0581
transmit,5,4,5.8579,0.0993
deterior,5,5,5.6348,0.0447
hoff,5,4,5.8579,0.3347
isovel,5,4,5.8579,0.1149
southwel,5,3,6.1456,0.2731
schubauer,5,3,6.1456,0.1351
obey,5,5,5.6348,0.0817
misalign,5,2,6.5511,0.3071
hypergeometr,5,3,6.1456,0.2926
understood,5,5,5.6348,0.1409
ellips,5,3,6.1456,0.0691
imposs,5,5,5.6348,0.0924
npl,5,5,5.6348,0.1818
photothermoelast,5,3,6.1456,0.2926
thinner,5,5,5.6348,0.088
methan,5,2,6.5511,0.168
twentyzero,5,5,5.6348,0.0794
gauss,5,3,6.1456,0.1549
curvilinear,5,3,6.1456,0.2169
poiseuill,5,2,6.5511,0.113
incur,5,4,5.8579,0.1562
overestim,5,5,5.6348,0.0552
grade,5,3,6.1456,0.1413
undissoci,5,4,5.8579,0.0901
night,5,3,6.1456,0.2561
suit,5,5,5.6348,0.0696
quartz,5,2,6.5511,0.1795
destal,5,2,6.5511,0.2488
insensit,5,5,5.6348,0.088
hysteresi,5,3,6.1456,0.1229
intak,5,3,6.1456,0.0917
recogn,5,5,5.6348,0.0772
know,5,5,5.6348,0.0508
undershoot,5,4,5.8579,0.0766
spacecraft,5,3,6.1456,0.1085
skirt,5,2,6.5511,0.1724
whilst,5,5,5.6348,0.1063
precis,5,5,5.6348,0.1063
interplanetari,5,2,6.5511,0.4094
impli,5,5,5.6348,0.0751
refractori,5,3,6.1456,0.2119
sublim,5,3,6.1456,0.3615
irrevers,5,4,5.8579,0.1502
insight,5,5,5.6348,0.1199
hartmann,5,4,5.8579,0.2253
assist,5,5,5.6348,0.1565
rotari,5,5,5.6348,0.0537
strict,5,5,5.6348,0.0696
unchang,5,5,5.6348,0.0955
semiapex,5,3,6.1456,0.2049
plausibl,5,5,5.6348,0.1006
return,5,5,5.6348,0.0829
fire,5,4,5.8579,0.1149
weissing,5,4,5.8579,0.1412
supplement,5,5,5.6348,0.0939
excresc,5,3,6.1456,0.1217
visualis,5,3,6.1456,0.0704
blowdown,5,5,5.6348,0.0563
60degre,5,4,5.8579,0.0662
permiss,5,4,5.8579,0.116
sizabl,5,4,5.8579,0.165
amen,5,5,5.6348,0.0722
conflict,5,4,5.8579,0.0843
junctur,5,4,5.8579,0.055
fighter,5,4,5.8579,0.0732
forth,5,5,5.6348,0.131
rais,5,5,5.6348,0.1943
hope,5,5,5.6348,0.1199
formal,5,5,5.6348,0.0939
faster,5,5,5.6348,0.0741
miss,5,2,6.5511,0.2047
reproduc,5,5,5.6348,0.1174
date,5,5,5.6348,0.0817
thermo,5,3,6.1456,0.2221
proton,5,1,7.2442,0.1887
block,5,4,5.8579,0.0993
fashion,5,5,5.6348,0.0633
nevertheless,5,5,5.6348,0.0547
orthogon,5,5,5.6348,0.1084
unlimit,5,5,5.6348,0.1761
manifest,5,5,5.6348,0.0772
spatial,5,5,5.6348,0.115
median,5,5,5.6348,0.0854
supercrit,5,3,6.1456,0.1576
freeli,5,2,6.5511,0.2063
defici,5,5,5.6348,0.1127
human,5,5,5.6348,0.1127
fuller,5,5,5.6348,0.0955
neither,5,5,5.6348,0.0687
stanton,5,4,5.8579,0.5094
meridian,5,5,5.6348,0.1523
bank,5,3,6.1456,0.1308
plug,5,3,6.1456,0.3292
sequenc,5,5,5.6348,0.0547
unstiffen,5,5,5.6348,0.1943
belotserkovskii,5,3,6.1456,0.2195
polyatom,5,3,6.1456,0.1107
counterpart,5,5,5.6348,0.0751
schmidt,5,2,6.5511,0.1588
bomber,5,3,6.1456,0.1731
bleed,5,5,5.6348,0.1374
collis,5,5,5.6348,0.0854
choos,5,5,5.6348,0.0805
spiral,5,4,5.8579,0.0915
quadrupol,5,2,6.5511,0.1337
refract,5,4,5.8579,0.1273
droop,5,2,6.5511,0.1317
accumul,5,3,6.1456,0.3512
encompass,5,4,5.8579,0.0545
calor,5,5,5.6348,0.0671
amr,5,5,5.6348,0.0989
titl,5,5,5.6348,0.1084
text,5,5,5.6348,0.1063
embed,5,3,6.1456,0.103
perimet,5,5,5.6348,0.115
kept,5,5,5.6348,0.115
easi,5,5,5.6348,0.1025
shorten,5,5,5.6348,0.0955
amplif,5,5,5.6348,0.0854
midplan,5,5,5.6348,0.1943
tedious,5,5,5.6348,0.1105
contrari,5,5,5.6348,0.1523
commerci,5,4,5.8579,0.0874
vapour,5,1,7.2442,0.2723
oge,5,3,6.1456,0.2083
post,5,5,5.6348,0.0955
reissner,5,5,5.6348,0.1523
save,5,5,5.6348,0.0972
twozero,5,5,5.6348,0.1199
storag,5,5,5.6348,0.1105
signal,5,2,6.5511,0.4031
nonaxisymmetr,5,4,5.8579,0.0937
repeat,5,4,5.8579,0.1246
depart,5,5,5.6348,0.0751
super,5,4,5.8579,0.1429
thicken,5,4,5.8579,0.1674
dual,5,4,5.8579,0.1273
downward,5,4,5.8579,0.1196
vibratori,5,4,5.8579,0.0888
lyapunov,5,2,6.5511,0.6551
resolv,5,5,5.6348,0.1025
uncertainti,4,4,5.8579,0.1149
none,4,4,5.8579,0.1046
intrins,4,3,6.1456,0.1267
link,4,4,5.8579,0.122
countri,4,3,6.1456,0.1556
embrac,4,4,5.8579,0.0742
paradox,4,3,6.1456,0.096
amplifi,4,4,5.8579,0.096
peripher,4,3,6.1456,0.1617
peculiar,4,4,5.8579,0.0888
necessit,4,4,5.8579,0.0714
ackeret,4,4,5.8579,0.1362
wise,4,4,5.8579,0.1542
spectral,4,3,6.1456,0.096
friedrich,4,4,5.8579,0.1028
defect,4,4,5.8579,0.1542
joul,4,1,7.2442,0.42
interferometr,4,4,5.8579,0.1542
boat,4,3,6.1456,0.1499
ray,4,3,6.1456,0.0723
whirl,4,3,6.1456,0.0763
aeroplan,4,4,5.8579,0.0771
chamber,4,4,5.8579,0.0689
treatis,4,4,5.8579,0.1149
psia,4,3,6.1456,0.1128
fring,4,4,5.8579,0.093
monoton,4,4,5.8579,0.0604
subcrit,4,4,5.8579,0.1395
seal,4,2,6.5511,0.1355
goldstein,4,3,6.1456,0.1042
isobar,4,2,6.5511,0.1985
econom,4,4,5.8579,0.2092
stretch,4,3,6.1456,0.1205
polish,4,2,6.5511,0.1572
sixtyzero,4,2,6.5511,0.1228
strut,4,3,6.1456,0.1229
eightzero,4,4,5.8579,0.0915
quot,4,4,5.8579,0.2092
math,4,4,5.8579,0.2789
flown,4,4,5.8579,0.0915
cusp,4,3,6.1456,0.1536
dioxid,4,4,5.8579,0.3254
sensor,4,2,6.5511,0.2259
landahl,4,4,5.8579,0.0901
inde,4,4,5.8579,0.0658
prematur,4,3,6.1456,0.1171
hydromagnet,4,4,5.8579,0.0993
fulfil,4,4,5.8579,0.1085
seban,4,4,5.8579,0.1105
likewis,4,4,5.8579,0.0874
kelli,4,4,5.8579,0.1105
untap,4,4,5.8579,0.1065
laplac,4,4,5.8579,0.0945
laval,4,4,5.8579,0.1723
content,4,4,5.8579,0.1105
15degre,4,3,6.1456,0.1229
shoulder,4,3,6.1456,0.0549
explor,4,4,5.8579,0.0681
justif,4,4,5.8579,0.0781
leeward,4,4,5.8579,0.0434
tailor,4,3,6.1456,0.2458
centerlin,4,2,6.5511,0.1276
fifth,4,4,5.8579,0.1246
univac,4,4,5.8579,0.0945
escap,4,4,5.8579,0.0861
gaug,4,4,5.8579,0.0915
young,4,4,5.8579,0.1127
psf,4,2,6.5511,0.1139
render,4,4,5.8579,0.0658
cal,4,4,5.8579,0.093
sidewash,4,3,6.1456,0.1171
weapon,4,2,6.5511,0.252
uncamb,4,3,6.1456,0.1808
intim,4,4,5.8579,0.1395
instal,4,2,6.5511,0.1424
lend,4,4,5.8579,0.1627
humid,4,3,6.1456,0.1661
diaphragm,4,2,6.5511,0.0697
aforement,4,4,5.8579,0.0697
asm,4,3,6.1456,0.0803
ruptur,4,3,6.1456,0.096
transtabl,4,2,6.5511,0.1946
comprehens,4,4,5.8579,0.1105
display,4,4,5.8579,0.0697
unless,4,3,6.1456,0.1756
endur,4,1,7.2442,0.1894
microphon,4,2,6.5511,0.1083
via,4,4,5.8579,0.1953
mit,4,4,5.8579,0.1331
oppos,4,4,5.8579,0.0837
breath,4,3,6.1456,0.1463
carrier,4,1,7.2442,0.1637
tensil,4,4,5.8579,0.0993
precipit,4,3,6.1456,0.1016
scienc,4,4,5.8579,0.1331
spar,4,3,6.1456,0.1024
aluminium,4,4,5.8579,0.0993
overpressur,4,3,6.1456,0.0866
billow,4,1,7.2442,0.3763
undertaken,4,4,5.8579,0.0742
sine,4,3,6.1456,0.1308
viscoelast,4,4,5.8579,0.0781
ascertain,4,4,5.8579,0.1085
sectori,4,2,6.5511,0.4226
skew,4,2,6.5511,0.0971
sextic,4,1,7.2442,0.3969
room,4,4,5.8579,0.0714
andor,4,3,6.1456,0.1499
wavi,4,4,5.8579,0.1362
insignific,4,4,5.8579,0.0742
conjectur,4,4,5.8579,0.0742
brake,4,3,6.1456,0.3152
notat,4,4,5.8579,0.1674
conceiv,4,4,5.8579,0.1149
valuabl,4,4,5.8579,0.0598
overshoot,4,2,6.5511,0.0856
cite,4,4,5.8579,0.1149
instruct,4,4,5.8579,0.1362
nitric,4,1,7.2442,0.2318
cauchi,4,2,6.5511,0.1724
preserv,4,4,5.8579,0.0837
let,4,4,5.8579,0.0751
largest,4,4,5.8579,0.0484
benefici,4,4,5.8579,0.0945
mar,4,3,6.1456,0.0512
onethre,4,4,5.8579,0.0337
distinguish,4,4,5.8579,0.1331
labori,4,4,5.8579,0.0644
afford,4,4,5.8579,0.0644
becam,4,3,6.1456,0.1336
oncom,4,4,5.8579,0.1362
staticpressur,4,2,6.5511,0.087
disregard,4,2,6.5511,0.108
sweat,4,2,6.5511,0.1337
interferomet,4,4,5.8579,0.1127
quick,4,3,6.1456,0.0999
deby,4,2,6.5511,0.2808
fig,4,4,5.8579,0.1172
write,4,4,5.8579,0.0637
add,4,4,5.8579,0.0604
thirtyzero,4,3,6.1456,0.1731
steadili,4,4,5.8579,0.0792
redund,4,2,6.5511,0.1548
closer,4,4,5.8579,0.1028
logic,4,4,5.8579,0.1046
squir,4,2,6.5511,0.7559
bureau,4,4,5.8579,0.1583
hypothet,4,4,5.8579,0.0492
forego,4,4,5.8579,0.1429
love,4,4,5.8579,0.0849
coaxial,4,4,5.8579,0.1331
track,4,3,6.1456,0.0975
knuckl,4,2,6.5511,0.156
legendr,4,2,6.5511,0.2047
novel,4,4,5.8579,0.1362
surpris,4,4,5.8579,0.1429
york,4,4,5.8579,0.0849
50degre,4,4,5.8579,0.0434
customari,4,4,5.8579,0.0666
newton,4,3,6.1456,0.1007
rheolog,4,2,6.5511,0.262
attract,4,3,6.1456,0.1117
encourag,4,4,5.8579,0.0637
seidel,4,2,6.5511,0.1652
mountain,4,1,7.2442,0.2356
confluent,4,2,6.5511,0.312
auxiliari,4,2,6.5511,0.2184
visibl,4,3,6.1456,0.1051
feed,4,2,6.5511,0.0809
rarefact,4,4,5.8579,0.0802
multiweb,4,3,6.1456,0.1808
sand,4,3,6.1456,0.1016
stainless,4,3,6.1456,0.0904
ceas,4,4,5.8579,0.0781
sevenzero,4,4,5.8579,0.0761
eckert,4,3,6.1456,0.1242
graphit,4,3,6.1456,0.086
mathieu,4,2,6.5511,0.3276
dive,4,3,6.1456,0.1042
incorrect,4,4,5.8579,0.2253
kirchhoff,4,4,5.8579,0.0901
labor,4,4,5.8579,0.0814
bibliographi,4,3,6.1456,0.241
maxwellian,4,3,6.1456,0.1835
fiber,4,4,5.8579,0.1105
buri,4,1,7.2442,0.4829
movabl,4,4,5.8579,0.0533
cubic,4,4,5.8579,0.0689
onetwo,4,3,6.1456,0.128
ethylen,4,3,6.1456,0.1556
bomb,4,1,7.2442,0.1282
answer,4,4,5.8579,0.0458
onef,4,4,5.8579,0.0761
specular,4,2,6.5511,0.1908
nonsimilar,4,3,6.1456,0.1107
come,4,4,5.8579,0.0781
latitud,4,2,6.5511,0.273
resin,4,3,6.1456,0.2319
nickel,4,2,6.5511,0.2586
speak,3,3,6.1456,0.1042
quench,3,2,6.5511,0.0639
misalin,3,1,7.2442,0.1796
season,3,3,6.1456,0.2561
mone,3,1,7.2442,0.1025
msix,3,3,6.1456,0.05
stratford,3,3,6.1456,0.1499
supercircular,3,1,7.2442,0.0906
alfven,3,2,6.5511,0.1337
booster,3,2,6.5511,0.252
reactiv,3,2,6.5511,0.168
complement,3,3,6.1456,0.064
environment,3,3,6.1456,0.1024
priori,3,2,6.5511,0.1024
foil,3,3,6.1456,0.0521
burst,3,2,6.5511,0.111
bubbl,3,3,6.1456,0.1007
irrespect,3,3,6.1456,0.0691
filament,3,3,6.1456,0.0647
fourfiv,3,3,6.1456,0.0723
stimul,3,3,6.1456,0.0819
addendum,3,3,6.1456,0.2364
puls,3,3,6.1456,0.0819
pronounc,3,3,6.1456,0.0459
20degre,3,2,6.5511,0.1213
forecast,3,2,6.5511,0.0682
ninezero,3,3,6.1456,0.1308
radar,3,3,6.1456,0.0455
fruit,3,3,6.1456,0.1366
sin,3,3,6.1456,0.0569
upward,3,1,7.2442,0.1842
concurr,3,3,6.1456,0.0549
infer,3,3,6.1456,0.1024
mission,3,3,6.1456,0.0778
riddel,3,3,6.1456,0.096
compens,3,3,6.1456,0.1808
tech,3,3,6.1456,0.1254
biharmon,3,3,6.1456,0.0891
deduct,3,3,6.1456,0.1982
submerg,3,3,6.1456,0.0931
vacuum,3,3,6.1456,0.0788
localis,3,2,6.5511,0.2426
belong,3,3,6.1456,0.192
seek,3,3,6.1456,0.0809
irbm,3,1,7.2442,0.1065
onezero,3,3,6.1456,0.0768
persist,3,3,6.1456,0.0706
said,3,3,6.1456,0.0654
lengthwis,3,3,6.1456,0.1254
get,3,3,6.1456,0.2195
grossman,3,1,7.2442,0.1055
rfive,3,1,7.2442,0.0765
entail,3,3,6.1456,0.0819
fay,3,3,6.1456,0.096
martian,3,2,6.5511,0.0609
chief,3,3,6.1456,0.0608
photomultipli,3,2,6.5511,0.1016
hydrocarbon,3,1,7.2442,0.2751
stepdown,3,1,7.2442,0.0713
manoeuvr,3,3,6.1456,0.1576
underestim,3,3,6.1456,0.0521
jastrow,3,2,6.5511,0.1541
interconnect,3,3,6.1456,0.0706
kelvin,3,2,6.5511,0.1899
bedford,3,3,6.1456,0.1661
sutherland,3,3,6.1456,0.0759
philosophi,3,3,6.1456,0.2672
bessel,3,3,6.1456,0.1397
standoff,3,2,6.5511,0.4094
usaf,3,3,6.1456,0.192
sponsor,3,3,6.1456,0.192
met,3,2,6.5511,0.1365
photographi,3,3,6.1456,0.0473
began,3,3,6.1456,0.0433
gaussian,3,3,6.1456,0.0842
mager,3,3,6.1456,0.2364
permeabl,3,2,6.5511,0.1541
dirt,3,2,6.5511,0.1092
klein,3,1,7.2442,0.2337
nonconserv,3,3,6.1456,0.1205
assembl,3,3,6.1456,0.0917
twin,3,2,6.5511,0.1724
inward,3,3,6.1456,0.1097
bell,3,2,6.5511,0.234
overcom,3,3,6.1456,0.0819
airfram,3,2,6.5511,0.1658
sought,3,3,6.1456,0.0554
paramount,3,3,6.1456,0.0723
network,3,2,6.5511,0.4679
gamma,3,3,6.1456,0.0564
terrain,3,3,6.1456,0.0917
inadequaci,3,3,6.1456,0.0931
navi,3,3,6.1456,0.1097
farnborough,3,3,6.1456,0.0788
harden,3,3,6.1456,0.1808
nonpor,3,2,6.5511,0.0949
insert,3,3,6.1456,0.0627
tangenc,3,3,6.1456,0.0991
fore,3,3,6.1456,0.1117
clarifi,3,3,6.1456,0.1205
worth,3,3,6.1456,0.0615
stol,3,3,6.1456,0.0819
classif,3,3,6.1456,0.1397
fzero,3,1,7.2442,0.3343
page,3,3,6.1456,0.0683
deflexion,3,2,6.5511,0.1248
drill,3,2,6.5511,0.2047
ture,3,3,6.1456,0.2458
ultra,3,2,6.5511,0.0789
cell,3,2,6.5511,0.0708
t6,3,3,6.1456,0.096
ensur,3,3,6.1456,0.0778
deep,3,2,6.5511,0.0978
elabor,3,3,6.1456,0.116
sea,3,3,6.1456,0.0608
stone,3,2,6.5511,0.1747
layout,3,2,6.5511,0.0873
horsesho,3,2,6.5511,0.0873
crosscorrel,3,1,7.2442,0.3343
shanley,3,3,6.1456,0.1205
mask,3,2,6.5511,0.2016
filter,3,2,6.5511,0.1016
weaken,3,2,6.5511,0.2047
raleigh,3,1,7.2442,0.3563
pai,3,2,6.5511,0.1638
torus,3,2,6.5511,0.1365
memorandum,3,3,6.1456,0.0931
liapunov,3,1,7.2442,0.5301
stein,3,3,6.1456,0.1007
sort,3,3,6.1456,0.0554
next,3,3,6.1456,0.116
window,3,3,6.1456,0.0442
seventh,3,3,6.1456,0.0945
spheroid,3,2,6.5511,0.0929
degener,3,2,6.5511,0.156
meter,3,2,6.5511,0.3047
built,3,3,6.1456,0.1576
smallest,3,2,6.5511,0.0835
timoshenko,3,3,6.1456,0.116
apart,3,3,6.1456,0.0842
pears,3,2,6.5511,0.1541
voyag,3,2,6.5511,0.4094
99degre,3,1,7.2442,0.161
ward,3,2,6.5511,0.0978
biconvex,3,3,6.1456,0.0608
mere,3,3,6.1456,0.0668
doublet,3,3,6.1456,0.096
unmodul,3,2,6.5511,0.0985
counter,3,3,6.1456,0.0574
nonrot,3,3,6.1456,0.0508
paid,3,3,6.1456,0.1429
tripl,3,3,6.1456,0.0798
touch,3,3,6.1456,0.1661
argu,3,3,6.1456,0.0878
unfortun,3,3,6.1456,0.0597
hopeless,3,3,6.1456,0.1463
hollow,3,2,6.5511,0.0993
mfour,3,3,6.1456,0.1078
box,3,3,6.1456,0.0842
revis,3,3,6.1456,0.096
inflect,3,3,6.1456,0.0634
cooper,3,3,6.1456,0.0917
never,3,3,6.1456,0.0723
thorough,3,3,6.1456,0.0991
helicopt,3,2,6.5511,0.1424
colloc,3,1,7.2442,0.1857
optim,3,3,6.1456,0.192
inspect,3,3,6.1456,0.1097
inaccuraci,3,3,6.1456,0.1097
atm,3,2,6.5511,0.0697
nonmagnet,3,2,6.5511,0.1456
apprais,3,3,6.1456,0.0488
noncatalyt,3,3,6.1456,0.0418
tain,3,3,6.1456,0.0878
streak,3,1,7.2442,0.1384
fortyzero,3,3,6.1456,0.1463
eventu,3,3,6.1456,0.0492
inevit,3,3,6.1456,0.0788
maritim,3,1,7.2442,0.1622
art,3,3,6.1456,0.1982
misess,3,2,6.5511,0.0575
lundquist,3,3,6.1456,0.0675
resler,3,2,6.5511,0.144
salient,3,3,6.1456,0.0539
traction,3,2,6.5511,0.118
sear,3,3,6.1456,0.0675
disloc,3,1,7.2442,0.7011
inter,3,3,6.1456,0.0597
focus,3,3,6.1456,0.0917
cutout,3,2,6.5511,0.0544
princeton,3,3,6.1456,0.0627
unbuckl,3,2,6.5511,0.1365
index,3,2,6.5511,0.1985
airspe,3,2,6.5511,0.1101
steam,3,2,6.5511,0.3639
referenc,3,3,6.1456,0.0325
decrement,3,2,6.5511,0.1541
freeman,3,2,6.5511,0.182
matter,3,3,6.1456,0.2119
viz,3,3,6.1456,0.2364
favour,3,2,6.5511,0.0963
threezero,3,3,6.1456,0.0866
muffler,3,1,7.2442,0.1781
thermochem,3,3,6.1456,0.1617
perman,3,2,6.5511,0.1101
flowmet,3,2,6.5511,0.1524
indirect,3,3,6.1456,0.106
grain,3,2,6.5511,0.117
piec,3,3,6.1456,0.0798
overlap,3,3,6.1456,0.0574
hour,3,3,6.1456,0.096
arrhenius,3,3,6.1456,0.0362
cheng,3,3,6.1456,0.096
june,3,3,6.1456,0.0975
fps,3,3,6.1456,0.0634
telemet,3,2,6.5511,0.2259
journal,3,3,6.1456,0.1463
compact,3,3,6.1456,0.1499
brass,3,3,6.1456,0.0621
noncircular,3,3,6.1456,0.1024
shortcom,3,3,6.1456,0.1982
constrain,3,3,6.1456,0.0878
key,3,3,6.1456,0.0788
claus,3,1,7.2442,0.5301
nuclear,3,3,6.1456,0.0819
max,3,2,6.5511,0.0708
typifi,3,3,6.1456,0.1499
liter,3,3,6.1456,0.0723
nodal,3,3,6.1456,0.116
realist,3,3,6.1456,0.1097
payload,3,2,6.5511,0.1598
airforc,3,1,7.2442,0.3622
turbulen,3,3,6.1456,0.1078
slice,3,2,6.5511,0.1074
catalyt,3,2,6.5511,0.0891
subscript,3,3,6.1456,0.2049
nonstationari,3,2,6.5511,0.2472
inflow,3,2,6.5511,0.069
abil,3,3,6.1456,0.0798
raeon,3,3,6.1456,0.1254
neighbourhood,3,3,6.1456,0.1042
4degre,3,3,6.1456,0.0749
diamond,3,3,6.1456,0.096
disadvantag,3,2,6.5511,0.0645
helmholtz,3,3,6.1456,0.1007
recircul,3,3,6.1456,0.0525
lightweight,3,2,6.5511,0.234
honeycomb,3,2,6.5511,0.3276
british,3,3,6.1456,0.0917
unusu,3,3,6.1456,0.0691
nylon,3,3,6.1456,0.116
omit,3,3,6.1456,0.2364
murphi,3,1,7.2442,0.1333
mayer,3,3,6.1456,0.096
drastic,3,3,6.1456,0.0466
cushion,3,3,6.1456,0.1576
havelock,3,1,7.2442,0.3244
demand,3,3,6.1456,0.0842
log,3,3,6.1456,0.1042
expenditur,3,2,6.5511,0.168
scientif,3,3,6.1456,0.0798
insofar,3,3,6.1456,0.0991
discoveri,3,3,6.1456,0.0878
monatom,3,2,6.5511,0.0693
rhombic,3,2,6.5511,0.4094
oneseven,2,2,6.5511,0.0305
ezero,2,2,6.5511,0.0923
nonparallel,2,2,6.5511,0.0873
exposur,2,2,6.5511,0.0851
deuc,2,2,6.5511,0.2113
bottom,2,2,6.5511,0.0675
ingeni,2,2,6.5511,0.104
hankel,2,2,6.5511,0.0471
appendic,2,2,6.5511,0.0819
reexamin,2,2,6.5511,0.1724
paraplex,2,2,6.5511,0.104
shockwav,2,2,6.5511,0.0596
stepwis,2,2,6.5511,0.1092
bogdonoff,2,2,6.5511,0.0461
thwaitess,2,2,6.5511,0.1149
slider,2,1,7.2442,0.3715
compressorsdash,2,1,7.2442,0.1811
walkden,2,2,6.5511,0.0753
seed,2,1,7.2442,0.0923
psig,2,2,6.5511,0.0533
shaft,2,2,6.5511,0.0712
murray,2,1,7.2442,0.142
judg,2,2,6.5511,0.0624
pre,2,2,6.5511,0.1191
sure,2,2,6.5511,0.084
collabor,2,2,6.5511,0.0819
shelter,2,1,7.2442,0.0771
onera,2,1,7.2442,0.1834
advoc,2,2,6.5511,0.1365
warrant,2,2,6.5511,0.111
y2,2,1,7.2442,0.1906
media,2,2,6.5511,0.0862
schuh,2,1,7.2442,0.0953
hamel,2,1,7.2442,0.1932
advisori,2,2,6.5511,0.0649
thereof,2,2,6.5511,0.0575
